rank	bare	accented	plural	plural_clean	gender	kind	level	en
1706	бедро	бедро'	бёдра	бёдра	n	e-yo	C2	thigh, hip, leg, round
1710	село	село'	сёла	сёла	n	e-yo	C2	village
1713	племя	пле'мя	племена'	племена	n	ена	C2	tribe, generation, breed
1729	повар	по'вар	повара'	повара	m	a-я	C2	cook; chef
1746	англичанин	англича'нин	англича'не	англичане	m	ане	C2	Englishman, the English, the British
1749	седло	седло'	сёдла	сёдла	n	e-yo	C2	saddle
1754	хутор	ху'тор	хутора'	хутора	m	a-я	C2	khutor, farm
1770	гнездо	гнездо'	гнёзда	гнёзда	n	e-yo	C2	nest, eyrie, nidus, cluster, socket, housing, family of words
1807	знамя	зна'мя	знамёна	знамёна	n	khac	C2	banner, colours, colour, standard
1809	сук	сук	су'чья	сучья	m	ья	C2	bough, knot
1858	весло	весло'	вёсла	вёсла	n	e-yo	C2	oar, scull, paddle
1866	кузов	ку'зов	кузова'	кузова	m	a-я	C2	basket, body
1883	купол	ку'пол	купола'	купола	m	a-я	C2	cupola, dome, big top
1887	ребро	ребро'	рёбра	рёбра	n	e-yo	C2	rib, edge, verge
1948	веко	ве'ко	ве'ки	веки	n	o-i	C2	eyelid
1971	сорт	сорт	сорта'	сорта	m	a-я	C2	sort, kind, variety, quality, grade, brand, growth
1973	брюхо	брю'хо	брю'хи	брюхи	n	o-i	C2	belly, paunch, corporation
1983	заря	заря'	зо'ри	зори	f	thay-goc	C2	daybreak, dawn, afterglow, evening glow, sunset, reveille, retreat, outset, start; name of the functional cargo block on the International Space Station
1990	горожанин	горожа'нин	горожа'не	горожане	m	ане	C2	townsman, town-dweller, city-dweller
1998	семя	се'мя	семена'	семена	n	ена	C2	seed, semen, sperm
2005	том	том	тома'	тома	m	a-я	C2	volume
2045	око	о'ко	о'чи	очи	n	thay-goc	C2	eye
2068	курица	ку'рица	ку'ры	куры	f	khac	C2	hen, chicken
2095	катер	ка'тер	катера'	катера	m	a-я	C2	boat
2099	мёд	мёд	меды'	меды	m	khac	C2	honey, mead
2136	местечко	месте'чко	месте'чки	местечки	n	o-i	C2	little place, borough, small town
2194	котёнок	котёнок	котя'та	котята	m	ята	C2	kitten
2222	землянин	земля'нин	земля'не	земляне	m	ане	C2	terrestrial being, earthling
2231	верста	верста'	вёрсты	вёрсты	f	e-yo	C2	verst, milestone
2311	медсестра	медсестра'	медсёстры	медсёстры	f	e-yo	C2	nurse
2413	россиянин	россия'нин	россия'не	россияне	m	ане	?	citizen of the Russian Federation
2420	звено	звено'	зве'нья	звенья	n	ья	?	link, team, group, section, flight
2496	парус	па'рус	паруса'	паруса	m	a-я	?	sail
